Galaxy Name,m-M,err,D,Method,REFCODE,RA,Dec,GLON,GLAT,Type (RC3),Vgsr (RC3)
,(mag),(mag),(Mpc),,,(J2000),(J2000),,,,(km/s)
NGC 4214,27.13,0.15,2.7,TRGB,2002AJ....124..811D,15:39.2,+36:19:36.8,160.3,78.1,IXS9,313
NGC 4214,27.34,0.16,2.94,TRGB,2002AJ....123.1307M,15:39.2,+36:19:36.8,160.3,78.1,IXS9,313
NGC 4214,28.06,...,4.09,BS,1997AstL...23..378M,15:39.2,+36:19:36.8,160.3,78.1,IXS9,313
NGC 4214,26.98,...,2.49,Tully-Fisher,LEDA [April 2006],15:39.2,+36:19:36.8,160.3,78.1,IXS9,313
NGC 4217,31.04,...,16.1,Tully-Fisher,2003astro.ph.10284R,15:50.9,+47:05:30.4,139.9,68.8,S..3./,1084
NGC 4217,31.17,...,17.1,Tully-Fisher,2003astro.ph.10284R,15:50.9,+47:05:30.4,139.9,68.8,S..3./,1084
NGC 4217,31.38,...,18.9,Tully-Fisher,2003astro.ph.10284R,15:50.9,+47:05:30.4,139.9,68.8,S..3./,1084
NGC 4217,31.62,...,21.1,Tully-Fisher,2003astro.ph.10284R,15:50.9,+47:05:30.4,139.9,68.8,S..3./,1084
UGC 07298,28.12,0.17,4.21,TRGB,2003A&A...398..467K,16:30.1,+52:13:39.0,135.2,64.1,I..9*,247
UGC 07298,29.67,...,8.59,BS,1998A&AS..128..325T,16:30.1,+52:13:39.0,135.2,64.1,I..9*,247
NGC 4236,28.24,0.22,4.45,TRGB,2002A&A...383..125K,16:42.1,+69:27:45.3,127.4,47.4,SBS8,127
NGC 4236,27.09,...,2.62,Tully-Fisher,LEDA [April 2006],16:42.1,+69:27:45.3,127.4,47.4,SBS8,127
NGC 4233,32.65,0.94,33.9,SBF,2001ApJ...546..681T,17:07.7,+07:37:27.8,278.7,68.9,L..0,2118
IC 3101,30.64,...,13.4,GC radius,2005ApJ...634.1002J,17:19.7,+11:56:36.5,273.5,72.8,"dE4:;N:",1365
NGC 4244,27.88,0.06,3.77,TRGB,2005ApJ...633..810M,17:29.7,+37:48:25.6,154.6,77.2,SAS6*/,270
NGC 4244,28.16,0.08,4.29,TRGB,2005Ap.....48..221T,17:29.7,+37:48:25.6,154.6,77.2,SAS6*/,270
NGC 4244,28.2,0.03,4.37,TRGB,2005AJ....129.1331S,17:29.7,+37:48:25.6,154.6,77.2,SAS6*/,270
NGC 4244,28.26,...,4.49,TRGB,2003A&A...398..467K,17:29.7,+37:48:25.6,154.6,77.2,SAS6*/,270
NGC 4244,28.28,...,4.53,BS,1998A&AS..131....1K,17:29.7,+37:48:25.6,154.6,77.2,SAS6*/,270
NGC 4244,28.54,...,5.11,Tully-Fisher,LEDA [April 2006],17:29.7,+37:48:25.6,154.6,77.2,SAS6*/,270
