Galaxy Name,m-M,err,D,Method,REFCODE,RA,Dec,GLON,GLAT,Type (RC3),Vgsr (RC3)
,(mag),(mag),(Mpc),,,(J2000),(J2000),,,,(km/s)
"M60; NGC 4639",31.52,0.08,20.2,Cepheids,2001ApJ...547L.103G,42:52.4,+13:15:26.9,294.3,76,SXT4,963
"M60; NGC 4639",31.58,0.11,20.7,Cepheids,2001ApJ...548..564W,42:52.4,+13:15:26.9,294.3,76,SXT4,963
"M60; NGC 4639",31.61,0.08,21,Cepheids,2001ApJ...553...47F,42:52.4,+13:15:26.9,294.3,76,SXT4,963
"M60; NGC 4639",31.62,0.08,21,Cepheids,2006ApJ...642L..29N,42:52.4,+13:15:26.9,294.3,76,SXT4,963
"M60; NGC 4639",31.62,0.09,21.1,Cepheids,2005ApJ...627..579R,42:52.4,+13:15:26.9,294.3,76,SXT4,963
"M60; NGC 4639",31.62,0.08,21.1,Cepheids,2001ApJ...547L.103G,42:52.4,+13:15:26.9,294.3,76,SXT4,963
"M60; NGC 4639",31.64,0.07,21.3,Cepheids,2002A&A...389...19P,42:52.4,+13:15:26.9,294.3,76,SXT4,963
"M60; NGC 4639",31.65,0.08,21.4,Cepheids,2006ApJ...642L..29N,42:52.4,+13:15:26.9,294.3,76,SXT4,963
"M60; NGC 4639",31.66,0.08,21.4,Cepheids,2006ApJ...642L..29N,42:52.4,+13:15:26.9,294.3,76,SXT4,963
"M60; NGC 4639",31.66,0.11,21.5,Cepheids,2003A&A...411..361K,42:52.4,+13:15:26.9,294.3,76,SXT4,963
"M60; NGC 4639",31.66,0.08,21.5,Cepheids,2006ApJ...642L..29N,42:52.4,+13:15:26.9,294.3,76,SXT4,963
"M60; NGC 4639",31.66,0.11,21.5,Cepheids,2003A&A...411..361K,42:52.4,+13:15:26.9,294.3,76,SXT4,963
"M60; NGC 4639",31.67,0.08,21.5,Cepheids,2006ApJ...642L..29N,42:52.4,+13:15:26.9,294.3,76,SXT4,963
"M60; NGC 4639",31.67,0.08,21.6,Cepheids,2006ApJ...642L..29N,42:52.4,+13:15:26.9,294.3,76,SXT4,963
"M60; NGC 4639",31.69,0.11,21.8,Cepheids,2003A&A...411..361K,42:52.4,+13:15:26.9,294.3,76,SXT4,963
"M60; NGC 4639",31.7,0.08,21.9,Cepheids,2006ApJ...642L..29N,42:52.4,+13:15:26.9,294.3,76,SXT4,963
"M60; NGC 4639",31.7,0.08,21.9,Cepheids,2006ApJ...642L..29N,42:52.4,+13:15:26.9,294.3,76,SXT4,963
"M60; NGC 4639",31.71,0.21,22,Cepheids,2002A&A...389...19P,42:52.4,+13:15:26.9,294.3,76,SXT4,963
"M60; NGC 4639",31.71,0.08,22,Cepheids,2001ApJ...553...47F,42:52.4,+13:15:26.9,294.3,76,SXT4,963
"M60; NGC 4639",31.74,0.11,22.3,Cepheids,1997ApJ...491...13K,42:52.4,+13:15:26.9,294.3,76,SXT4,963
"M60; NGC 4639",31.76,0.11,22.5,Cepheids,2003A&A...411..361K,42:52.4,+13:15:26.9,294.3,76,SXT4,963
"M60; NGC 4639",31.78,0.13,22.7,Cepheids,1997ApJ...491...13K,42:52.4,+13:15:26.9,294.3,76,SXT4,963
"M60; NGC 4639",31.79,0.11,22.8,Cepheids,2003A&A...411..361K,42:52.4,+13:15:26.9,294.3,76,SXT4,963
"M60; NGC 4639",31.8,0.08,22.9,Cepheids,2002A&A...389...19P,42:52.4,+13:15:26.9,294.3,76,SXT4,963
"M60; NGC 4639",31.8,0.09,22.9,Cepheids,2000ApJ...529..723G,42:52.4,+13:15:26.9,294.3,76,SXT4,963
"M60; NGC 4639",31.81,0.11,23,Cepheids,2003A&A...411..361K,42:52.4,+13:15:26.9,294.3,76,SXT4,963
"M60; NGC 4639",31.84,0.08,23.3,Cepheids,2006ApJ...642L..29N,42:52.4,+13:15:26.9,294.3,76,SXT4,963
"M60; NGC 4639",31.88,0.08,23.7,Cepheids,2006ApJ...642L..29N,42:52.4,+13:15:26.9,294.3,76,SXT4,963
"M60; NGC 4639",31.89,0.11,23.9,Cepheids,2003A&A...411..361K,42:52.4,+13:15:26.9,294.3,76,SXT4,963
"M60; NGC 4639",31.92,0.09,24.2,Cepheids,2000ApJ...529..768K,42:52.4,+13:15:26.9,294.3,76,SXT4,963
"M60; NGC 4639",31.92,0.11,24.2,Cepheids,2000ApJ...529..723G,42:52.4,+13:15:26.9,294.3,76,SXT4,963
"M60; NGC 4639",32,0.23,25.1,Cepheids,1996ApJ...460L..15S,42:52.4,+13:15:26.9,294.3,76,SXT4,963
"M60; NGC 4639",32.03,0.22,25.5,Cepheids,1997ApJ...486....1S,42:52.4,+13:15:26.9,294.3,76,SXT4,963
"M60; NGC 4639",32.2,0.09,27.5,Cepheids,2006ApJS..165..108S,42:52.4,+13:15:26.9,294.3,76,SXT4,963
"M60; NGC 4639",32.14,0.14,26.8,SNIa,2005ApJ...624..532R,42:52.4,+13:15:26.9,294.3,76,SXT4,963
"M60; NGC 4639",31.7,0.18,21.9,Sosies,2002A&A...393...57T,42:52.4,+13:15:26.9,294.3,76,SXT4,963
"M60; NGC 4639",31.67,...,21.6,Tully-Fisher,2003astro.ph.10284R,42:52.4,+13:15:26.9,294.3,76,SXT4,963
"M60; NGC 4639",31.74,...,22.3,Tully-Fisher,2003astro.ph.10284R,42:52.4,+13:15:26.9,294.3,76,SXT4,963
"M60; NGC 4639",31.29,...,18.1,GC radius,2005ApJ...634.1002J,42:52.4,+13:15:26.9,294.3,76,SXT4,963
NGC 4649,30.73,0.13,14,PNLF,2002ApJ...577...31C,43:39.7,+11:33:09.4,295.9,74.3,E.2,1065
NGC 4649,30.76,...,14.2,PNLF,1990ApJ...356..332J,43:39.7,+11:33:09.4,295.9,74.3,E.2,1065
NGC 4649,30.95,0.25,15.5,GCLF,1993AJ....105.1358S,43:39.7,+11:33:09.4,295.9,74.3,E.2,1065
NGC 4649,31.06,0.05,16.3,GCLF,2001AJ....121.2950K,43:39.7,+11:33:09.4,295.9,74.3,E.2,1065
NGC 4649,31.39,0.11,19,GCLF,1991ApJS...76..115H,43:39.7,+11:33:09.4,295.9,74.3,E.2,1065
NGC 4649,30.95,0.11,15.5,SBF,1997AJ....114..626A,43:39.7,+11:33:09.4,295.9,74.3,E.2,1065
NGC 4649,31.13,0.15,16.8,SBF,2001ApJ...546..681T,43:39.7,+11:33:09.4,295.9,74.3,E.2,1065
NGC 4649,31.16,0.15,17.1,SBF,2001MNRAS.327.1004B,43:39.7,+11:33:09.4,295.9,74.3,E.2,1065
NGC 4649,31.1,...,16.6,FP,2000ApJ...529..768K,43:39.7,+11:33:09.4,295.9,74.3,E.2,1065
NGC 4649,31.24,...,17.7,FP,LEDA [April 2006],43:39.7,+11:33:09.4,295.9,74.3,E.2,1065
NGC 4649,31.28,0.41,18,FP,2001MNRAS.327.1004B,43:39.7,+11:33:09.4,295.9,74.3,E.2,1065
NGC 4651,31.86,0.17,23.6,Sosies,2002A&A...393...57T,43:42.6,+16:23:36.2,293.1,79.1,SAT5,772
NGC 4651,31.96,...,24.7,Tully-Fisher,LEDA [April 2006],43:42.6,+16:23:36.2,293.1,79.1,SAT5,772
NGC 4645,32.38,0.18,29.9,SBF,2001ApJ...546..681T,44:09.9,-41:44:59.8,301.5,21.1,E+,2411
NGC 4645,32.45,0.18,31,SBF,2001MNRAS.327.1004B,44:09.9,-41:44:59.8,301.5,21.1,E+,2411
NGC 4645,32.77,0.41,35.8,FP,2001MNRAS.327.1004B,44:09.9,-41:44:59.8,301.5,21.1,E+,2411
NGC 4660,30.8,0.18,14.5,GCLF,2001AJ....121.2950K,44:31.9,+11:11:25.9,296.8,74,E...*,1045
NGC 4660,30.37,0.18,11.9,SBF,1997AJ....114..626A,44:31.9,+11:11:25.9,296.8,74,E...*,1045
NGC 4660,30.54,0.19,12.8,SBF,2001ApJ...546..681T,44:31.9,+11:11:25.9,296.8,74,E...*,1045
NGC 4660,31.01,...,15.9,FP,2000ApJ...529..768K,44:31.9,+11:11:25.9,296.8,74,E...*,1045
NGC 4660,30.76,...,14.2,GC radius,2005ApJ...634.1002J,44:31.9,+11:11:25.9,296.8,74,E...*,1045
ESO 381- G 018,28.63,...,5.33,TRGB,2007AJ....133..504K,44:42.4,-35:58:00.2,301.4,26.9,Irr,443
IC 3735,30.23,...,11.1,GC radius,2005ApJ...634.1002J,45:20.4,+13:41:33.0,296.6,76.5,E?,1854
NGC 4675,34.15*,0.19,66.6,SNIa,2006ApJ...645..488W,45:31.9,+54:44:15.4,124.8,62.4,SB.3*,4898
NGC 4675,34.302*,0.053,71.4,SNIa,2006ApJ...647..501P,45:31.9,+54:44:15.4,124.8,62.4,SB.3*,4898
NGC 4675,34.452*,0.136,76.4,SNIa,2006A&A...447...31A,45:31.9,+54:44:15.4,124.8,62.4,SB.3*,4898
NGC 4675,34.54*,0.23,79.7,SNIa,2004ApJ...607..665R,45:31.9,+54:44:15.4,124.8,62.4,SB.3*,4898
NGC 4675,34.6,0.14,83.2,SNIa,2005ApJ...624..532R,45:31.9,+54:44:15.4,124.8,62.4,SB.3*,4898
ESO 381- G 020,28.68,...,5.45,TRGB,2007AJ....133..504K,46:00.7,-33:50:13.0,301.6,29,IBS9,421
"[DCL86] 187; PGC 043058",33.47,0.45,49.4,SBF,2003A&A...410..445M,46:08.9,-41:03:39.7,301.9,21.8,S,2462
NGC 4680,32.46*,0.19,30.8,SNIa,2006ApJ...645..488W,46:54.7,-11:38:13.4,301.2,51.2,P,2376
NGC 4680,32.756*,0.052,35.3,SNIa,2006ApJ...647..501P,46:54.7,-11:38:13.4,301.2,51.2,P,2376
NGC 4680,32.97,0.14,39.3,SNIa,2005ApJ...624..532R,46:54.7,-11:38:13.4,301.2,51.2,P,2376
DDO 147,30.09,...,10.4,BS,1998A&AS..128..459M,46:59.8,+36:28:35.0,128.4,80.6,I..9*,369
NGC 4682,31.8,0.11,22.9,Sosies,2002A&A...393...57T,47:15.5,-10:03:48.4,301.2,52.8,SXS6,2220
NGC 4684,30.65,0.19,13.5,SBF,2001ApJ...546..681T,47:17.5,-02:43:40.0,300.9,60.1,LBR+,1488
HIPASS J1247-77,27.5,...,3.16,TRGB,2006AJ....131.1361K,47:26.0,-77:34:18.0,302.7,-14.7,Im,227
NGC 4679,34.025*,0.032,63.8,SNIa,2006ApJ...647..501P,47:30.3,-39:34:15.1,302.1,23.3,SBS5P*,4481
NGC 4679,34.14*,0.19,66.3,SNIa,2006ApJ...645..488W,47:30.3,-39:34:15.1,302.1,23.3,SBS5P*,4481
NGC 4679,34.162*,0.127,67,SNIa,2006A&A...447...31A,47:30.3,-39:34:15.1,302.1,23.3,SBS5P*,4481
"ESO 322- G 088; NGC 4696D",32.78,0.67,36,SBF,2001ApJ...546..681T,48:21.4,-41:42:50.5,302.3,21.2,LBR0P/,2414
"ESO 322- G 088; NGC 4696D",33.4,0.67,47.8,SBF,2001MNRAS.327.1004B,48:21.4,-41:42:50.5,302.3,21.2,LBR0P/,2414
"ESO 322- G 088; NGC 4696D",32.92,0.41,38.4,FP,2001MNRAS.327.1004B,48:21.4,-41:42:50.5,302.3,21.2,LBR0P/,2414
NGC 4697,29.89,0.07,9.51,PNLF,2002ApJ...577...31C,48:35.9,-05:48:03.1,301.6,57.1,E.6,1137
NGC 4697,30.1,0.1,10.5,PNLF,2001ApJ...563..135M,48:35.9,-05:48:03.1,301.6,57.1,E.6,1137
NGC 4697,30.22,...,11.1,PNLF,2006AJ....131..837S,48:35.9,-05:48:03.1,301.6,57.1,E.6,1137
NGC 4697,30.35,0.14,11.7,SBF,2001ApJ...546..681T,48:35.9,-05:48:03.1,301.6,57.1,E.6,1137
NGC 4697,30.389,0.14,12,SBF,2001MNRAS.327.1004B,48:35.9,-05:48:03.1,301.6,57.1,E.6,1137
NGC 4697,30.07,...,10.3,FP,LEDA [April 2006],48:35.9,-05:48:03.1,301.6,57.1,E.6,1137
NGC 4697,30.18,0.41,10.8,FP,2001MNRAS.327.1004B,48:35.9,-05:48:03.1,301.6,57.1,E.6,1137
NGC 4697,30.06,...,10.3,GC radius,2005ApJ...634.1002J,48:35.9,-05:48:03.1,301.6,57.1,E.6,1137
CCC 058,33.73,0.44,55.7,SBF,2003A&A...410..445M,48:36.1,-41:26:25.2,302.4,21.4,dE,3111
CCC 061,33.23,0.32,44.2,SBF,2003A&A...410..445M,48:39.7,-41:16:05.2,302.4,21.6,dE,2662
NGC 4704,34.851*,0.043,90.9,SNIa,2006ApJ...647..501P,48:46.4,+41:55:16.6,124.9,75.2,SBT4P,8223
NGC 4704,35.10*,0.2,102,SNIa,2006ApJ...645..488W,48:46.4,+41:55:16.6,124.9,75.2,SBT4P,8223
NGC 4704,35.15*,0.079,104,SNIa,2006A&A...447...31A,48:46.4,+41:55:16.6,124.9,75.2,SBT4P,8223
NGC 4704,35.33,0.3,116,SNIa,2005ApJ...624..532R,48:46.4,+41:55:16.6,124.9,75.2,SBT4P,8223
NGC 4696,32.95,0.34,38.9,GCLF,2005A&A...438..103M,48:49.3,-41:18:40.0,302.4,21.6,E+1.P,2783
NGC 4696,32.75,0.17,35.5,SBF,2001ApJ...546..681T,48:49.3,-41:18:40.0,302.4,21.6,E+1.P,2783
NGC 4696,32.83,0.17,36.8,SBF,2001MNRAS.327.1004B,48:49.3,-41:18:40.0,302.4,21.6,E+1.P,2783
NGC 4696,33,0.1,39.8,SBF,2006MSAIS...9..305C,48:49.3,-41:18:40.0,302.4,21.6,E+1.P,2783
NGC 4696,33.14,0.17,42.5,SBF,2003A&A...410..445M,48:49.3,-41:18:40.0,302.4,21.6,E+1.P,2783
NGC 4696,31.9,...,24,FP,LEDA [Nov 2006],48:49.3,-41:18:40.0,302.4,21.6,E+1.P,2783
NGC 4696,32.6,0.41,33.1,FP,2001MNRAS.327.1004B,48:49.3,-41:18:40.0,302.4,21.6,E+1.P,2783
"CCC 070; Abell 3526",32.58,0.33,32.8,SBF,2003A&A...410..445M,48:53.9,-41:19:08.9,302.4,21.6,E,2133
CCC 075,33.6,0.45,52.5,SBF,2003A&A...410..445M,49:01.9,-41:15:35.9,302.4,21.6,"dE;N",1776
CCC 089,33.5,0.31,50.1,SBF,2003A&A...410..445M,49:18.5,-41:20:08.6,302.5,21.5,E,2952
NGC 4712,34.81,0.21,91.6,Sosies,2002A&A...393...57T,49:34.2,+25:28:11.8,288.7,88.3,SAS4,4385
ESO 322- G 101,32.18,0.44,27.3,SBF,2001ApJ...546..681T,49:34.5,-41:03:17.5,302.6,21.8,E?,1855
CCC 111,32.88,0.3,37.7,SBF,2003A&A...410..445M,49:40.0,-41:21:59.3,302.6,21.5,"dE;N",2692
CCC 121,33.54,0.47,51.1,SBF,2003A&A...410..445M,49:54.2,-41:20:24.1,302.6,21.5,dE,4527
CCC 123,32.86,0.45,37.3,SBF,2003A&A...410..445M,49:56.1,-41:24:04.0,302.6,21.5,dS0,4451
CCC 125,33.24,0.4,44.5,SBF,2003A&A...410..445M,49:56.4,-41:15:37.0,302.6,21.6,dE,2692
NGC 4709,32.32,0.33,29.1,GCLF,2005A&A...438..103M,50:04.0,-41:22:56.9,302.7,21.5,E.1,4452
NGC 4709,32.5,0.15,31.6,SBF,2003A&A...410..445M,50:04.0,-41:22:56.9,302.7,21.5,E.1,4451
NGC 4709,32.74,0.23,35.3,SBF,2001ApJ...546..681T,50:04.0,-41:22:56.9,302.7,21.5,E.1,4452
NGC 4709,32.88,0.17,37.7,SBF,2003ApJ...583..712J,50:04.0,-41:22:56.9,302.7,21.5,E.1,4452
NGC 4709,32.89,0.23,37.8,SBF,2001MNRAS.327.1004B,50:04.0,-41:22:56.9,302.7,21.5,E.1,4452
NGC 4709,33.38,0.41,47.4,FP,2001MNRAS.327.1004B,50:04.0,-41:22:56.9,302.7,21.5,E.1,4452
NGC 4725,30.37,0.1,11.9,Cepheids,2001ApJ...548..564W,50:26.6,+25:30:02.7,295.1,88.4,SXR2P,1207
NGC 4725,30.38,0.06,11.9,Cepheids,2001ApJ...553...47F,50:26.6,+25:30:02.7,295.1,88.4,SXR2P,1207
NGC 4725,30.39,0.07,12,Cepheids,2003A&A...411..361K,50:26.6,+25:30:02.7,295.1,88.4,SXR2P,1207
NGC 4725,30.4,0.07,12,Cepheids,2003A&A...411..361K,50:26.6,+25:30:02.7,295.1,88.4,SXR2P,1207
NGC 4725,30.43,0.07,12.2,Cepheids,2003A&A...411..361K,50:26.6,+25:30:02.7,295.1,88.4,SXR2P,1207
NGC 4725,30.44,0.06,12.2,Cepheids,2002A&A...389...19P,50:26.6,+25:30:02.7,295.1,88.4,SXR2P,1207
NGC 4725,30.46,0.18,12.4,Cepheids,2002A&A...389...19P,50:26.6,+25:30:02.7,295.1,88.4,SXR2P,1207
NGC 4725,30.46,0.06,12.4,Cepheids,2001ApJ...553...47F,50:26.6,+25:30:02.7,295.1,88.4,SXR2P,1207
NGC 4725,30.49,0.07,12.5,Cepheids,2003A&A...411..361K,50:26.6,+25:30:02.7,295.1,88.4,SXR2P,1207
NGC 4725,30.52,0.07,12.7,Cepheids,2003A&A...411..361K,50:26.6,+25:30:02.7,295.1,88.4,SXR2P,1207
NGC 4725,30.53,0.11,12.8,Cepheids,2002A&A...389...19P,50:26.6,+25:30:02.7,295.1,88.4,SXR2P,1207
NGC 4725,30.54,0.07,12.8,Cepheids,2003A&A...411..361K,50:26.6,+25:30:02.7,295.1,88.4,SXR2P,1207
NGC 4725,30.57,0.08,13,Cepheids,1999ApJ...512...48G,50:26.6,+25:30:02.7,295.1,88.4,SXR2P,1207
NGC 4725,30.62,0.07,13.3,Cepheids,2003A&A...411..361K,50:26.6,+25:30:02.7,295.1,88.4,SXR2P,1207
NGC 4725,30.65,0.06,13.5,Cepheids,2006ApJS..165..108S,50:26.6,+25:30:02.7,295.1,88.4,SXR2P,1207
NGC 4725,30.45,0.34,12.3,SBF,2003ApJ...583..712J,50:26.6,+25:30:02.7,295.1,88.4,SXR2P,1207
NGC 4725,30.61,0.34,13.2,SBF,2001ApJ...546..681T,50:26.6,+25:30:02.7,295.1,88.4,SXR2P,1207
NGC 4725,30.81,0.15,14.5,Sosies,2002A&A...393...57T,50:26.6,+25:30:02.7,295.1,88.4,SXR2P,1207
NGC 4725,30.22,...,11.1,Tully-Fisher,2003astro.ph.10284R,50:26.6,+25:30:02.7,295.1,88.4,SXR2P,1207
NGC 4725,30.26,...,11.3,Tully-Fisher,2003astro.ph.10284R,50:26.6,+25:30:02.7,295.1,88.4,SXR2P,1207
NGC 4725,31.4,...,19.1,Tully-Fisher,LEDA [April 2006],50:26.6,+25:30:02.7,295.1,88.4,SXR2P,1207
"M94; NGC 4736",28.34,0.29,4.66,TRGB,2003A&A...398..467K,50:53.1,+41:07:13.7,123.4,76,RSAR2,360
"M94; NGC 4736",28.58,0.18,5.2,SBF,2001ApJ...546..681T,50:53.1,+41:07:13.7,123.4,76,RSAR2,360
"M94; NGC 4736",29.01,0.57,6.34,Sosies,2002A&A...393...57T,50:53.1,+41:07:13.7,123.4,76,RSAR2,360
"M94; NGC 4736",29.76,...,8.95,Tully-Fisher,LEDA [April 2006],50:53.1,+41:07:13.7,123.4,76,RSAR2,360
NGC 4733,30.87,0.2,14.9,SBF,2001ApJ...546..681T,51:06.8,+10:54:43.5,302.6,73.8,E+..*,871
NGC 4729,32.63,0.31,33.6,SBF,2001MNRAS.327.1004B,51:46.3,-41:07:56.3,303,21.7,E+..*,3163
NGC 4729,33.03,0.41,40.4,FP,2001MNRAS.327.1004B,51:46.3,-41:07:56.3,303,21.7,E+..*,3163
NGC 4742,30.95,0.16,15.5,SBF,2001ApJ...546..681T,51:48.0,-10:27:17.0,303.1,52.4,E.4.*,1176
NGC 4742,30.99,0.16,15.8,SBF,2001MNRAS.327.1004B,51:48.0,-10:27:17.0,303.1,52.4,E.4.*,1176
NGC 4742,30.18,0.41,10.9,FP,2001MNRAS.327.1004B,51:48.0,-10:27:17.0,303.1,52.4,E.4.*,1176
NGC 4754,31.13,0.14,16.8,SBF,2001ApJ...546..681T,52:17.6,+11:18:49.2,303.7,74.2,LBR-*,1352
NGC 4754,31.36,...,18.7,FP,LEDA [April 2006],52:17.6,+11:18:49.2,303.7,74.2,LBR-*,1352
NGC 4754,30.76,...,14.2,GC radius,2005ApJ...634.1002J,52:17.6,+11:18:49.2,303.7,74.2,LBR-*,1352
NGC 4753,31.86,0.19,23.6,SBF,2001ApJ...546..681T,52:22.1,-01:11:58.9,303.4,61.7,I.0,1312
NGC 4753,31.5,0.14,20,SNIa,2005ApJ...624..532R,52:22.1,-01:11:58.9,303.4,61.7,I.0,1154
NGC 4753,30.63,...,13.4,Tully-Fisher,LEDA [April 2006],52:22.1,-01:11:58.9,303.4,61.7,I.0,1312
ESO 323- G 025,33.56,0.21,51.5,Sosies,2002A&A...393...57T,52:39.0,-39:01:41.8,303.2,23.8,PSBS4*,4025
ESO 323- G 025,33.52,...,50.6,Tully-Fisher,2003astro.ph.10284R,52:39.0,-39:01:41.8,303.2,23.8,PSBS4*,4025
ESO 323- G 025,33.76,...,56.5,Tully-Fisher,2003astro.ph.10284R,52:39.0,-39:01:41.8,303.2,23.8,PSBS4*,4025
ESO 323- G 034,32.69,0.22,34.5,SBF,2001ApJ...546..681T,53:25.9,-41:12:10.2,303.3,21.7,E.5.*,4125
ESO 323- G 034,32.82,0.22,36.7,SBF,2001MNRAS.327.1004B,53:25.9,-41:12:10.2,303.3,21.7,E.5.*,4125
ESO 323- G 034,33.13,0.41,42.3,FP,2001MNRAS.327.1004B,53:25.9,-41:12:10.2,303.3,21.7,E.5.*,4125
NGC 4772,32.26,0.25,28.3,Sosies,2002A&A...393...57T,53:29.1,+02:10:06.2,304.1,65,SAS1,968
NGC 4767,32.58,0.25,32.8,SBF,2001ApJ...546..681T,53:52.9,-39:42:51.5,303.4,23.2,E,2812
NGC 4767,32.74,0.25,35.3,SBF,2001MNRAS.327.1004B,53:52.9,-39:42:51.5,303.4,23.2,E,2812
NGC 4767,32.76,0.41,35.6,FP,2001MNRAS.327.1004B,53:52.9,-39:42:51.5,303.4,23.2,E,2812
"NGC 4789A; DDO 154",28.18,...,4.3,BS,1998A&AS..128..459M,54:05.3,+27:08:58.7,35.2,89.4,IBS9,384
NGC 4800,32.37,0.38,29.8,Sosies,2002A&A...393...57T,54:37.8,+46:31:52.2,121.3,70.6,SAT3,879
ESO 443- G 009,28.81,...,5.78,TRGB,2007AJ....133..504K,54:54.1,-28:20:27.1,303.9,34.5,Im,490
"KDG 215; LSBC F575-03",31.4,...,19.1,BS,1998A&AS..128..459M,55:40.5,+19:12:33.0,310.2,82,dI,42
NGC 4802,30.31,0.16,11.5,SBF,2001ApJ...546..681T,55:49.6,-12:03:19.1,304.6,50.8,LAR.?,920
"M64; NGC 4826",29.37,0.2,7.48,SBF,2001ApJ...546..681T,56:43.8,+21:40:51.9,315.7,84.4,RSAT2,403
"M64; NGC 4826",29.24,...,7.05,Tully-Fisher,LEDA [April 2006],56:43.8,+21:40:51.9,315.7,84.4,RSAT2,403
"GR8; UGC 08091",26.45,0.07,1.95,Cepheids,2006MmSAI..77..299G,58:40.4,+14:13:02.9,310.7,77,I..9,183
"GR8; UGC 08091",26.75,0.35,2.24,Cepheids,1995AJ....109..579T,58:40.4,+14:13:02.9,310.7,77,I..9,183
"GR8; UGC 08091",26.7,0.15,2.19,TRGB,1998AJ....116.1227D,58:40.4,+14:13:02.9,310.7,77,I..9,183
NGC 4874,35.15,0.12,107,GCLF,2002ApJ...567..294O,59:35.7,+27:57:33.8,58.1,88,E+0,7166
NGC 4881,34.9,...,95.5,GCLF,2002ApJ...567..294O,59:57.6,+28:14:50.6,64.1,87.8,E+,6720
NGC 4881,35.16,0.23,108,GCLF,1995AJ....110.2537B,59:57.6,+28:14:50.6,64.1,87.8,E+,6720
NGC 4881,35.04,0.31,102,SBF,1997ApJ...483L..37T,59:57.6,+28:14:50.6,64.1,87.8,E+,6720
"NGC 4908; IC 4051",35.07,0.17,103,GCLF,1997AJ....113.1483B,00:51.6,+28:02:34.2,57.1,87.7,E.5,8819
"NGC 4908; IC 4051",35.08,0.2,104,GCLF,2002ApJ...567..294O,00:51.6,+28:02:34.2,57.1,87.7,E.5,8819
"NGC 4908; IC 4051",35.11,0.12,105,GCLF,1997AJ....113.1483B,00:51.6,+28:02:34.2,57.1,87.7,E.5,8819
"NGC 4908; IC 4051",35.15,0.16,107,GCLF,1997AJ....113.1483B,00:51.6,+28:02:34.2,57.1,87.7,E.5,8819
NGC 4897,33.45,0.59,49,Sosies,2002A&A...393...57T,00:52.9,-13:26:59.3,306.5,49.4,SXR4*,2449
NGC 4926,35.23,0.2,111,GCLF,2002ApJ...567..294O,01:53.7,+27:37:27.9,45.6,87.6,LA.-*,7906
ESO 443- G 041,34.39,0.04,75.5,Sosies,2002A&A...393...57T,03:23.7,-32:14:13.9,305.9,30.6,PSXT3,4704
NGC 4941,31.63,0.37,21.2,Sosies,2002A&A...393...57T,04:13.1,-05:33:05.8,308.8,57.2,RSXR2*,1018
NGC 4939,32.89,0.13,37.8,Sosies,2002A&A...393...57T,04:14.4,-10:20:22.6,308.1,52.4,SAS4,3008
[KK98] 182,28.81,...,5.78,TRGB,2007AJ....133..504K,05:02.1,-40:04:58.0,305.8,22.7,Irr,452
NGC 4947,31.79,0.39,22.8,Sosies,2002A&A...393...57T,05:20.2,-35:20:14.7,306.1,27.4,SXR3P,2251
NGC 4945,27.63,0.06,3.36,TRGB,2005ApJ...633..810M,05:27.5,-49:28:05.6,305.3,13.3,SBS6*/,383
NGC 4945,27.46,...,3.1,Tully-Fisher,LEDA [April 2006],05:27.5,-49:28:05.6,305.3,13.3,SBS6*/,383
NGC 4946,33.39,0.17,47.6,SBF,2001ApJ...546..681T,05:29.4,-43:35:28.1,305.6,19.2,E+..?,2908
NGC 4946,33.43,0.17,48.4,SBF,2001MNRAS.327.1004B,05:29.4,-43:35:28.1,305.6,19.2,E+..?,2908
NGC 4946,33.52,0.41,50.6,FP,2001MNRAS.327.1004B,05:29.4,-43:35:28.1,305.6,19.2,E+..?,2908
IC 4182,27.4,...,3.02,Cepheids,1992AAS...181.8202J,05:49.5,+37:36:17.6,107.7,79.1,SAS9,362
IC 4182,28.07,0.14,4.11,Cepheids,1997ApJ...491...13K,05:49.5,+37:36:17.6,107.7,79.1,SAS9,362
IC 4182,28.19,0.08,4.34,Cepheids,2001ApJ...547L.103G,05:49.5,+37:36:17.6,107.7,79.1,SAS9,362
IC 4182,28.21,0.08,4.38,Cepheids,2001ApJ...547L.103G,05:49.5,+37:36:17.6,107.7,79.1,SAS9,362
IC 4182,28.21,0.09,4.39,Cepheids,2006ApJS..165..108S,05:49.5,+37:36:17.6,107.7,79.1,SAS9,362
IC 4182,28.26,0.06,4.49,Cepheids,2001ApJ...553...47F,05:49.5,+37:36:17.6,107.7,79.1,SAS9,362
IC 4182,28.27,0.08,4.5,Cepheids,2001ApJ...548..564W,05:49.5,+37:36:17.6,107.7,79.1,SAS9,362
IC 4182,28.28,0.06,4.53,Cepheids,2001ApJ...553...47F,05:49.5,+37:36:17.6,107.7,79.1,SAS9,362
IC 4182,28.29,0.13,4.54,Cepheids,2003A&A...411..361K,05:49.5,+37:36:17.6,107.7,79.1,SAS9,362
IC 4182,28.31,0.08,4.59,Cepheids,2000ApJ...529..723G,05:49.5,+37:36:17.6,107.7,79.1,SAS9,362
IC 4182,28.31,0.11,4.59,Cepheids,1997ApJ...491...13K,05:49.5,+37:36:17.6,107.7,79.1,SAS9,362
IC 4182,28.32,0.13,4.61,Cepheids,2003A&A...411..361K,05:49.5,+37:36:17.6,107.7,79.1,SAS9,362
